timestamp,price,portfolio_value
2025-09-25 04:50:53.387930,111735.995,116000.0
2025-09-25 05:50:57.067689,111751.805,116000.0
2025-09-25 06:51:03.842971,111637.845,116000.0
2025-09-25 07:51:11.750640,111805.405,116000.0
2025-09-25 08:51:18.388072,111820.11499999999,116000.0
2025-09-25 09:51:21.261767,111723.10500000001,116000.0
2025-09-25 10:51:25.021586,111638.065,116000.0
2025-09-25 11:51:28.711921,111369.995,116000.0
2025-09-25 12:51:36.900506,111267.985,116000.0
2025-09-25 13:51:39.812675,111037.195,116000.0
2025-09-25 14:51:43.879250,111455.705,116000.0
2025-09-25 15:51:47.531805,111510.07500000001,116000.0
2025-09-25 16:51:54.763700,111099.995,116000.0
2025-09-25 17:52:26.389295,109270.025,115891.42092891599
2025-09-25 18:52:59.180802,109625.625,116191.77656289999
2025-09-25 19:53:30.833515,109387.595,115990.7257992408
2025-09-25 20:54:00.194831,109150.995,115790.88287741679
2025-09-25 21:54:29.691045,109398.86499999999,116000.2449443336
2025-09-25 22:54:58.691304,109316.995,115931.0938876568
2025-09-25 23:55:26.372249,108940.155,115612.7980015192
2025-09-26 00:55:52.676914,109484.735,116072.7745795704
2025-09-26 01:56:20.414397,109641.975,116205.586502764
2025-09-26 02:56:45.788903,109636.82500000001,116201.236582868
2025-09-26 03:57:11.193634,109643.995,116207.2926849368
2025-09-26 04:57:34.225956,109412.565,116011.8165759016
2025-09-26 05:57:53.739397,109274.755,115895.4160980632
2025-09-26 06:58:15.296525,109367.475,115973.731549084
2025-09-26 07:58:36.051485,109243.67499999999,115869.16454265198
2025-09-26 08:58:57.128722,109604.235,116173.7096140504
2025-09-26 09:59:20.408764,109608.86499999999,116177.62031873359
2025-09-26 10:59:43.350375,108938.64499999999,115611.52258811278
2025-09-26 12:00:06.483822,109192.875,115826.25659494
2025-09-26 13:00:32.952098,109543.805,116122.66773845519
2025-09-26 14:01:00.940470,109735.685,116284.7381519784
2025-09-26 15:01:29.540242,108952.155,115622.9337371992
2025-09-26 16:01:45.511566,109086.765,115736.6313521896
2025-09-26 17:02:16.224597,109538.86499999999,116118.49519393359
2025-09-26 18:02:45.566566,110026.015,116529.9638303096
